term,explanation
low hemoglobin,Low hemoglobin may indicate anemia
high blood sugar,High blood sugar may suggest diabetes
high creatinine,High creatinine may indicate kidney problems
low platelet count,Low platelets can increase bleeding risk
high cholesterol,High cholesterol increases heart disease risk
high blood pressure,High blood pressure increases cardiovascular risk
low sodium,Low sodium levels may indicate electrolyte imbalance
high sodium,High sodium may indicate dehydration
high potassium,High potassium may affect heart rhythm
low potassium,Low potassium can cause muscle weakness
high triglycerides,High triglycerides increase heart disease risk
low white blood cells,Low WBC may indicate infection or immune disorder
high white blood cells,High WBC may indicate infection
low red blood cells,Low RBC may indicate anemia
high liver enzymes,High liver enzymes may suggest liver damage
high bilirubin,High bilirubin may indicate liver disease
low calcium,Low calcium may affect bone strength
high calcium,High calcium may indicate hormonal disorders
low vitamin D,Low vitamin D may affect bone health
high uric acid,High uric acid may cause gout